place,date,verification_status,emulator,platform,region,realtime
1,2021-07-10,verified,False,v06dk3e4,o316x197,4403
2,2020-06-28,verified,False,v06dk3e4,o316x197,4424
3,2021-05-30,verified,False,v06dk3e4,o316x197,4439
4,2019-12-28,verified,False,v06dk3e4,o316x197,4453
5,2021-05-26,verified,False,v06dk3e4,o316x197,4454
6,2020-06-06,verified,False,v06dk3e4,o316x197,4462
7,2020-02-03,verified,False,v06dk3e4,o316x197,4482
8,2020-04-30,verified,False,v06dk3e4,o316x197,4484
9,2021-01-02,verified,False,v06dk3e4,o316x197,4485
10,2019-06-15,verified,False,v06dk3e4,o316x197,4486
11,2019-06-17,verified,False,v06dk3e4,o316x197,4488
12,2021-02-08,verified,False,v06dk3e4,o316x197,4493
13,2020-01-20,verified,False,v06dk3e4,o316x197,4495
14,2021-01-13,verified,False,v06dk3e4,o316x197,4496.3
15,2019-12-13,verified,False,v06dk3e4,o316x197,4496.533
16,2021-01-28,verified,False,v06dk3e4,o316x197,4498
17,2021-06-05,verified,False,v06dk3e4,o316x197,4499.621
18,2020-01-18,verified,False,v06dk3e4,o316x197,4499.725
19,2017-03-05,verified,False,v06dk3e4,o316x197,4505
20,2020-04-21,verified,False,v06dk3e4,o316x197,4518
21,2019-08-22,verified,False,v06dk3e4,o316x197,4519
22,2020-11-24,verified,False,v06dk3e4,e6lxy1dz,4524
23,2017-05-06,verified,False,v06dk3e4,o316x197,4525
24,2020-03-31,verified,False,v06dk3e4,o316x197,4528
25,2020-10-29,verified,False,v06dk3e4,o316x197,4529
26,2020-11-03,verified,False,v06dk3e4,e6lxy1dz,4530
27,2021-06-20,verified,False,v06dk3e4,o316x197,4532
28,2021-06-23,verified,False,v06dk3e4,o316x197,4533
29,2018-08-29,verified,False,v06dk3e4,o316x197,4537
30,2020-04-02,verified,False,v06dk3e4,o316x197,4543
31,2017-01-27,verified,False,v06dk3e4,o316x197,4555
31,2019-05-19,verified,False,v06dk3e4,o316x197,4555
33,2020-05-07,verified,False,v06dk3e4,e6lxy1dz,4556
34,2017-04-27,verified,False,v06dk3e4,o316x197,4559
35,2019-09-16,verified,False,v06dk3e4,o316x197,4569
36,2021-04-06,verified,False,v06dk3e4,o316x197,4577
37,2021-04-16,verified,False,v06dk3e4,o316x197,4579
38,2020-12-18,verified,False,v06dk3e4,e6lxy1dz,4583
39,2021-04-19,verified,False,v06dk3e4,o316x197,4590
40,2019-04-28,verified,False,v06dk3e4,o316x197,4592
41,2020-06-14,verified,False,v06dk3e4,o316x197,4595
42,2016-09-17,verified,False,v06dk3e4,o316x197,4596
42,2019-06-04,verified,False,v06dk3e4,o316x197,4596
44,2020-12-10,verified,False,v06dk3e4,e6lxy1dz,4604
44,2021-07-05,verified,False,v06dk3e4,e6lxy1dz,4604
46,2021-05-29,verified,False,v06dk3e4,o316x197,4606
47,2017-09-13,verified,False,v06dk3e4,o316x197,4607
48,2021-03-18,verified,False,v06dk3e4,pr184lqn,4615
49,2019-01-23,verified,False,v06dk3e4,o316x197,4616
50,2021-04-08,verified,False,v06dk3e4,e6lxy1dz,4623
51,2016-06-14,verified,False,v06dk3e4,o316x197,4625
51,2016-11-21,verified,False,v06dk3e4,e6lxy1dz,4625
53,2017-06-19,verified,False,v06dk3e4,o316x197,4627
54,2020-10-13,verified,False,v06dk3e4,o316x197,4634
55,2019-08-29,verified,False,v06dk3e4,o316x197,4638
56,2020-09-20,verified,False,v06dk3e4,o316x197,4640
57,2020-03-29,verified,False,v06dk3e4,o316x197,4642
58,2015-12-08,verified,False,v06dk3e4,o316x197,4644
59,2016-09-30,verified,False,v06dk3e4,o316x197,4645
60,2021-03-25,verified,False,v06dk3e4,o316x197,4646
61,2018-12-11,verified,False,v06dk3e4,e6lxy1dz,4650
62,2020-05-06,verified,False,v06dk3e4,o316x197,4653
62,2021-04-10,verified,False,v06dk3e4,pr184lqn,4653
64,2017-02-19,verified,False,v06dk3e4,o316x197,4655
65,2019-07-21,verified,False,v06dk3e4,o316x197,4656
66,2019-09-08,verified,False,v06dk3e4,o316x197,4659
67,2016-02-06,verified,False,v06dk3e4,o316x197,4664
68,2016-11-22,verified,False,v06dk3e4,o316x197,4666
69,2018-08-17,verified,False,v06dk3e4,o316x197,4668
70,2021-06-11,verified,False,v06dk3e4,o316x197,4669
71,2016-12-06,verified,False,v06dk3e4,e6lxy1dz,4672
72,2021-01-21,verified,False,v06dk3e4,o316x197,4688
73,2021-07-03,verified,False,v06dk3e4,o316x197,4698
74,2021-03-16,verified,False,v06dk3e4,e6lxy1dz,4702
75,2021-03-12,verified,False,v06dk3e4,pr184lqn,4704
76,2016-09-20,verified,False,v06dk3e4,o316x197,4705
77,2015-07-22,verified,False,v06dk3e4,o316x197,4708
77,2016-07-23,verified,False,v06dk3e4,o316x197,4708
77,2017-03-07,verified,False,v06dk3e4,o316x197,4708
77,2020-10-14,verified,False,v06dk3e4,o316x197,4708
77,2021-06-21,verified,False,v06dk3e4,o316x197,4708
82,2018-09-14,verified,False,v06dk3e4,e6lxy1dz,4712
82,2021-06-26,verified,False,v06dk3e4,e6lxy1dz,4712
84,2021-04-13,verified,False,v06dk3e4,e6lxy1dz,4714
85,2020-07-15,verified,False,v06dk3e4,o316x197,4715
86,2016-06-04,verified,False,v06dk3e4,o316x197,4720
87,2020-09-10,verified,False,v06dk3e4,e6lxy1dz,4722
88,2019-07-23,verified,False,v06dk3e4,o316x197,4726
89,2015-07-15,verified,False,v06dk3e4,pr184lqn,4730
89,2020-08-07,verified,False,v06dk3e4,pr184lqn,4730
91,2020-04-10,verified,False,v06dk3e4,pr184lqn,4733
92,2015-08-10,verified,False,v06dk3e4,o316x197,4734
93,2019-06-01,verified,False,v06dk3e4,o316x197,4736
94,2018-01-19,verified,False,v06dk3e4,o316x197,4739
95,2020-06-08,verified,False,v06dk3e4,o316x197,4741
96,2021-02-22,verified,False,v06dk3e4,o316x197,4744
97,2017-10-10,verified,False,v06dk3e4,o316x197,4748
98,2020-04-16,verified,False,v06dk3e4,e6lxy1dz,4749
99,2020-11-15,verified,False,v06dk3e4,o316x197,4750
100,2020-07-26,verified,False,v06dk3e4,e6lxy1dz,4753
100,2021-04-25,verified,False,v06dk3e4,o316x197,4753
102,2020-10-26,verified,False,v06dk3e4,o316x197,4754
103,2021-05-17,verified,False,v06dk3e4,o316x197,4763
104,2020-03-09,verified,False,v06dk3e4,o316x197,4764
104,2020-04-19,verified,False,v06dk3e4,o316x197,4764
106,2021-06-25,verified,False,v06dk3e4,o316x197,4767
107,2017-09-30,verified,False,v06dk3e4,o316x197,4770
108,2021-06-25,verified,False,v06dk3e4,o316x197,4772
109,2021-05-20,verified,False,v06dk3e4,pr184lqn,4774
110,2020-07-24,verified,False,v06dk3e4,o316x197,4778
111,2021-04-18,verified,False,v06dk3e4,o316x197,4779
112,2015-12-04,verified,False,v06dk3e4,o316x197,4782
113,2017-05-22,verified,False,4p9z06rn,e6lxy1dz,4784
114,2021-06-12,verified,False,4p9z06rn,pr184lqn,4785
115,2020-11-02,verified,False,v06dk3e4,o316x197,4786
116,2016-12-04,verified,False,v06dk3e4,o316x197,4788
117,2019-11-24,verified,False,v06dk3e4,pr184lqn,4789
117,2020-07-11,verified,False,v06dk3e4,pr184lqn,4789
119,2020-09-25,verified,False,v06dk3e4,o316x197,4792
119,2021-04-27,verified,False,v06dk3e4,o316x197,4792
119,2021-05-16,verified,False,v06dk3e4,pr184lqn,4792
122,2021-07-05,verified,False,v06dk3e4,o316x197,4794
123,2016-01-23,verified,False,v06dk3e4,o316x197,4799
123,2019-08-23,verified,False,v06dk3e4,o316x197,4799
125,2014-12-22,verified,False,v06dk3e4,o316x197,4801
125,2015-12-23,verified,False,v06dk3e4,o316x197,4801
125,2016-07-03,verified,False,v06dk3e4,o316x197,4801
125,2021-02-19,verified,False,v06dk3e4,pr184lqn,4801
129,2018-03-31,verified,False,v06dk3e4,pr184lqn,4804
130,2019-11-20,verified,False,v06dk3e4,e6lxy1dz,4806
131,2017-01-06,verified,False,4p9z06rn,pr184lqn,4808
131,2021-07-09,verified,False,v06dk3e4,o316x197,4808
133,2020-05-17,verified,False,v06dk3e4,o316x197,4810
134,2015-03-27,verified,False,v06dk3e4,o316x197,4816
135,2020-06-24,verified,False,v06dk3e4,o316x197,4823
136,2017-12-21,verified,False,v06dk3e4,o316x197,4827
137,2015-11-05,verified,False,v06dk3e4,o316x197,4830
137,2020-04-24,verified,False,v06dk3e4,e6lxy1dz,4830
137,2021-05-23,verified,False,v06dk3e4,e6lxy1dz,4830
140,2015-08-21,verified,False,v06dk3e4,o316x197,4832
141,2016-10-06,verified,False,v06dk3e4,o316x197,4836
141,2018-03-18,verified,False,v06dk3e4,o316x197,4836
143,2021-07-06,verified,False,v06dk3e4,e6lxy1dz,4838
144,2021-06-27,verified,False,v06dk3e4,o316x197,4845
145,2016-08-17,verified,False,v06dk3e4,e6lxy1dz,4846
146,2014-07-20,verified,False,v06dk3e4,o316x197,4847
147,2017-02-08,verified,False,v06dk3e4,o316x197,4850
147,2021-05-23,verified,False,v06dk3e4,o316x197,4850
149,2015-05-15,verified,False,v06dk3e4,e6lxy1dz,4852
150,2021-05-03,verified,False,v06dk3e4,e6lxy1dz,4854
151,2015-06-10,verified,False,v06dk3e4,e6lxy1dz,4855
152,2015-12-14,verified,False,v06dk3e4,e6lxy1dz,4856
152,2017-04-02,verified,False,v06dk3e4,e6lxy1dz,4856
154,2018-07-21,verified,False,v06dk3e4,o316x197,4859
155,2017-12-18,verified,False,v06dk3e4,o316x197,4863
156,2016-01-27,verified,False,v06dk3e4,o316x197,4865
157,2019-05-15,verified,False,v06dk3e4,pr184lqn,4867
158,2017-02-19,verified,False,v06dk3e4,e6lxy1dz,4869
159,2021-01-13,verified,False,v06dk3e4,o316x197,4872
160,2018-04-04,verified,False,v06dk3e4,o316x197,4875
161,2018-03-23,verified,False,v06dk3e4,o316x197,4877
162,2015-12-11,verified,False,v06dk3e4,o316x197,4879
163,2020-12-10,verified,False,v06dk3e4,o316x197,4882
164,2020-06-10,verified,False,v06dk3e4,o316x197,4885
165,2018-12-16,verified,False,v06dk3e4,pr184lqn,4887
166,2020-05-27,verified,False,v06dk3e4,o316x197,4895
167,2014-10-13,verified,False,v06dk3e4,pr184lqn,4897
168,2019-09-23,verified,False,v06dk3e4,o316x197,4899
169,2021-03-02,verified,False,v06dk3e4,o316x197,4900
170,2016-01-30,verified,False,v06dk3e4,pr184lqn,4903
171,2017-03-01,verified,False,v06dk3e4,pr184lqn,4906
172,2017-10-16,verified,False,v06dk3e4,o316x197,4907
173,2020-11-08,verified,False,v06dk3e4,o316x197,4909
174,2015-12-22,verified,False,v06dk3e4,e6lxy1dz,4912
175,2017-02-10,verified,False,v06dk3e4,pr184lqn,4919
175,2020-04-30,verified,False,4p9z06rn,pr184lqn,4919
177,2014-12-13,verified,False,v06dk3e4,o316x197,4922
178,2020-05-05,verified,False,v06dk3e4,pr184lqn,4924
179,2014-05-06,verified,False,v06dk3e4,pr184lqn,4929
180,2019-07-05,verified,False,v06dk3e4,pr184lqn,4938
181,2016-06-09,verified,False,v06dk3e4,o316x197,4939
182,2017-01-24,verified,False,v06dk3e4,pr184lqn,4947
183,2016-12-14,verified,False,v06dk3e4,o316x197,4953
184,2018-11-04,verified,False,4p9z06rn,pr184lqn,4954
185,2017-06-12,verified,False,v06dk3e4,o316x197,4957
185,2021-02-06,verified,False,v06dk3e4,pr184lqn,4957
187,2016-08-23,verified,False,v06dk3e4,o316x197,4958
187,2016-11-28,verified,False,v06dk3e4,pr184lqn,4958
189,2014-05-15,verified,False,v06dk3e4,pr184lqn,4959
190,2018-07-29,verified,False,v06dk3e4,pr184lqn,4963
191,2019-04-19,verified,False,v06dk3e4,e6lxy1dz,4965
191,2019-07-11,verified,False,v06dk3e4,pr184lqn,4965
193,2016-04-09,verified,False,v06dk3e4,pr184lqn,4967
194,2020-02-16,verified,False,v06dk3e4,o316x197,4979
195,2021-04-23,verified,False,v06dk3e4,e6lxy1dz,4981
196,2021-07-02,verified,False,v06dk3e4,pr184lqn,4987
197,2021-04-17,verified,False,v06dk3e4,o316x197,4988
198,2018-05-20,verified,False,v06dk3e4,o316x197,4989
199,2020-08-11,verified,False,v06dk3e4,pr184lqn,4994
200,2014-10-25,verified,False,v06dk3e4,pr184lqn,4995
200,2015-10-18,verified,False,v06dk3e4,p2g50lnk,4995
202,2020-06-24,verified,False,v06dk3e4,e6lxy1dz,4996
203,2017-01-19,verified,False,4p9z06rn,pr184lqn,5005
204,2015-11-20,verified,False,v06dk3e4,pr184lqn,5006
204,2021-07-07,verified,False,v06dk3e4,pr184lqn,5006
206,2015-08-26,verified,False,4p9z06rn,pr184lqn,5007
206,2018-03-09,verified,False,v06dk3e4,pr184lqn,5007
208,2020-12-27,verified,False,v06dk3e4,pr184lqn,5017
208,2021-03-28,verified,False,v06dk3e4,o316x197,5017
210,2020-09-06,verified,False,v06dk3e4,pr184lqn,5018
211,2014-09-06,verified,False,v06dk3e4,o316x197,5024
211,2014-12-05,verified,False,v06dk3e4,e6lxy1dz,5024
211,2015-01-30,verified,False,v06dk3e4,o316x197,5024
214,2016-12-10,verified,False,v06dk3e4,o316x197,5025
214,2019-06-07,verified,False,v06dk3e4,pr184lqn,5025
216,2016-01-22,verified,False,v06dk3e4,pr184lqn,5027
217,2014-12-30,verified,False,v06dk3e4,pr184lqn,5028
217,2021-06-22,verified,False,v06dk3e4,pr184lqn,5028
219,2014-12-02,verified,False,v06dk3e4,pr184lqn,5031
220,2021-01-22,verified,False,v06dk3e4,e6lxy1dz,5036
221,2020-06-30,verified,False,v06dk3e4,o316x197,5037
222,2017-05-22,verified,False,v06dk3e4,o316x197,5039
223,2017-05-25,verified,False,v06dk3e4,o316x197,5040
224,2020-08-26,verified,False,v06dk3e4,pr184lqn,5048
225,2015-04-10,verified,False,v06dk3e4,e6lxy1dz,5050
226,2018-03-04,verified,False,v06dk3e4,o316x197,5052
227,2015-04-02,verified,False,v06dk3e4,pr184lqn,5054
227,2021-06-10,verified,False,4p9z06rn,o316x197,5054
229,2016-05-27,verified,False,4p9z06rn,o316x197,5058
229,2017-05-06,verified,False,v06dk3e4,,5058
231,2020-08-21,verified,False,v06dk3e4,o316x197,5060
232,2016-05-10,verified,False,v06dk3e4,pr184lqn,5061
233,2016-06-04,verified,False,v06dk3e4,o316x197,5065
234,2020-02-05,verified,False,4p9z06rn,o316x197,5071
235,2015-09-22,verified,False,v06dk3e4,pr184lqn,5072
236,2015-06-25,verified,False,v06dk3e4,o316x197,5076
237,2017-04-06,verified,False,v06dk3e4,e6lxy1dz,5078
238,2019-09-19,verified,False,v06dk3e4,o316x197,5079
238,2019-12-28,verified,False,v06dk3e4,o316x197,5079
240,2017-02-21,verified,False,v06dk3e4,pr184lqn,5081
241,2015-02-03,verified,False,v06dk3e4,pr184lqn,5082
241,2015-03-27,verified,False,v06dk3e4,pr184lqn,5082
243,2018-11-21,verified,False,v06dk3e4,pr184lqn,5083
243,2019-11-28,verified,False,v06dk3e4,e6lxy1dz,5083
245,2021-06-30,verified,False,v06dk3e4,e6lxy1dz,5084
246,2014-03-24,verified,False,v06dk3e4,o316x197,5085
246,2021-04-27,verified,False,v06dk3e4,o316x197,5085
248,2019-07-17,verified,False,v06dk3e4,pr184lqn,5088
248,2020-05-03,verified,False,v06dk3e4,pr184lqn,5088
250,2016-04-27,verified,False,v06dk3e4,o316x197,5093
251,2016-06-21,verified,False,v06dk3e4,pr184lqn,5094
251,2021-06-08,verified,False,v06dk3e4,pr184lqn,5094
253,2018-03-01,verified,False,v06dk3e4,pr184lqn,5097
253,2018-07-27,verified,False,v06dk3e4,pr184lqn,5097
255,2018-01-28,verified,False,v06dk3e4,pr184lqn,5104
255,2019-11-26,verified,False,v06dk3e4,pr184lqn,5104
257,2017-01-19,verified,False,v06dk3e4,pr184lqn,5105
258,2017-09-13,verified,False,v06dk3e4,pr184lqn,5106
259,2016-07-30,verified,False,v06dk3e4,pr184lqn,5109
260,2016-02-25,verified,False,4p9z06rn,e6lxy1dz,5113
260,2020-10-13,verified,False,v06dk3e4,pr184lqn,5113
262,2020-07-15,verified,False,v06dk3e4,pr184lqn,5118
263,2014-12-03,verified,False,v06dk3e4,pr184lqn,5119
264,2018-01-29,verified,False,v06dk3e4,e6lxy1dz,5121
264,2020-01-17,verified,False,v06dk3e4,o316x197,5121
266,2021-05-28,verified,False,v06dk3e4,e6lxy1dz,5123
267,2020-03-05,verified,False,v06dk3e4,pr184lqn,5124
268,2014-03-22,verified,False,v06dk3e4,pr184lqn,5125
268,2019-02-05,verified,False,v06dk3e4,o316x197,5125
270,2017-05-30,verified,False,v06dk3e4,o316x197,5132
270,2017-06-27,verified,False,v06dk3e4,e6lxy1dz,5132
272,2018-09-06,verified,False,v06dk3e4,o316x197,5133
273,2016-08-19,verified,False,v06dk3e4,pr184lqn,5136
273,2018-03-05,verified,False,v06dk3e4,o316x197,5136
275,2016-01-28,verified,False,v06dk3e4,pr184lqn,5148
276,2015-04-26,verified,False,v06dk3e4,e6lxy1dz,5149
277,2020-12-26,verified,False,4p9z06rn,pr184lqn,5153
278,2018-06-23,verified,False,4p9z06rn,pr184lqn,5154
278,2020-05-14,verified,False,v06dk3e4,pr184lqn,5154
278,2021-02-20,verified,False,v06dk3e4,e6lxy1dz,5154
281,2015-04-13,verified,False,v06dk3e4,o316x197,5156
282,2019-05-13,verified,False,v06dk3e4,pr184lqn,5158
283,2017-06-04,verified,False,v06dk3e4,pr184lqn,5164
283,2020-06-20,verified,False,v06dk3e4,pr184lqn,5164
285,2015-05-15,verified,False,v06dk3e4,e6lxy1dz,5165
286,2020-03-31,verified,False,v06dk3e4,pr184lqn,5169
287,2016-12-22,verified,False,v06dk3e4,pr184lqn,5170
288,2016-07-10,verified,False,v06dk3e4,pr184lqn,5171
289,2014-03-03,verified,False,v06dk3e4,pr184lqn,5173
290,2020-06-08,verified,False,v06dk3e4,o316x197,5175
291,2016-11-10,verified,False,v06dk3e4,pr184lqn,5178
292,2020-05-22,verified,True,4p9z06rn,o316x197,5181
293,2017-01-26,verified,False,v06dk3e4,pr184lqn,5183
294,2016-02-01,verified,False,v06dk3e4,pr184lqn,5184
294,2021-04-09,verified,False,v06dk3e4,o316x197,5184
296,2017-01-20,verified,False,4p9z06rn,pr184lqn,5190
297,2014-05-02,verified,False,v06dk3e4,o316x197,5193
297,2019-12-09,verified,False,v06dk3e4,pr184lqn,5193
299,2015-03-14,verified,False,v06dk3e4,pr184lqn,5195
299,2017-04-14,verified,False,v06dk3e4,o316x197,5195
301,2014-03-11,verified,False,v06dk3e4,e6lxy1dz,5198
301,2014-12-16,verified,False,v06dk3e4,e6lxy1dz,5198
303,2017-01-16,verified,False,v06dk3e4,pr184lqn,5202
304,2016-06-04,verified,False,v06dk3e4,pr184lqn,5203
305,2020-09-01,verified,False,v06dk3e4,pr184lqn,5205
306,2014-08-08,verified,False,v06dk3e4,o316x197,5208
307,2016-11-06,verified,False,v06dk3e4,pr184lqn,5213
308,2015-04-18,verified,False,v06dk3e4,o316x197,5214
309,2017-11-20,verified,False,v06dk3e4,o316x197,5217
310,2020-03-17,verified,False,v06dk3e4,pr184lqn,5218
311,2016-01-30,verified,False,v06dk3e4,pr184lqn,5222
312,2015-02-04,verified,False,v06dk3e4,pr184lqn,5228
313,2016-04-07,verified,False,4p9z06rn,o316x197,5230
314,2016-07-17,verified,False,v06dk3e4,pr184lqn,5233
315,2015-05-21,verified,False,v06dk3e4,pr184lqn,5234
316,2020-08-13,verified,False,v06dk3e4,,5239
317,2021-02-23,verified,False,v06dk3e4,pr184lqn,5244
318,2021-05-18,verified,False,v06dk3e4,pr184lqn,5249
319,2020-04-07,verified,False,v06dk3e4,pr184lqn,5250
320,2021-01-18,verified,False,v06dk3e4,pr184lqn,5251
321,2017-07-04,verified,False,4p9z06rn,pr184lqn,5258
322,2014-02-22,verified,False,v06dk3e4,o316x197,5261
323,2015-02-15,verified,False,v06dk3e4,pr184lqn,5262
